author,title,school,year,pages,ee,publisher,booktitle,address,journal,volume,number,month,url,cdrom,editor,cite,note,crossref,isbn,series,chapter,publnr
Roman Klinger,Strukturierte Modellierung von Affekt in Text.,"University of Stuttgart, Germany",2020,Null,"https://nbn-resolving.org/urn:nbn:de:bsz:93-opus-ds-110119, https://d-nb.info/1217253475",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Thomas Schildhauer,Strategisches Softwaremarketing: Übersicht und Bewertung.,Null,1992,1-181,https://d-nb.info/920720846,Dt. Univ.-Verlag,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-8244-0113-0,Null,Null,Null
Anja Bog,Benchmarking transaction and analytical processing systems: the creation of a mixed workload benchmark and its application.,Null,2013,1-164,https://d-nb.info/1033231886,Springer,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-642-38069-3,Null,Null,Null
Michael Wächter,Gestaltung tangibler Mensch-Maschine-Schnittstellen: Engineering-Methode für Planer und Entwickler.,Null,2019,1-217,https://d-nb.info/1192467817,Springer Vieweg,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-658-27665-2,Null,Null,Null
Rainer Götze 0001,Dialogmodellierung für multimediale Benutzerschnittstellen.,Null,1995,1-341,https://d-nb.info/945389159,Teubner,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-8154-2064-5,Null,Null,Null
Meinald T. Thielsch,"Ästhetik von Websites: Wahrnehmung von Ästhetik und deren Beziehung zu Inhalt, Usability und Persönlichkeitsmerkmalen.",Null,2017,1-297,https://d-nb.info/1148672664,Pabst Science Publishers,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-95853-364-6,Null,Null,Null
Ansgar Scherp,A component framework for personalized multimedia applications.,Null,2015,Null,"http://macau.uni-kiel.de/receive/macau_publ_00000696, https://nbn-resolving.org/urn:nbn:de:gbv:8-publ-6960, https://d-nb.info/1108280064","Universitätsbibliothek Kiel, Germany",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Carola Eschenbach,Zählangaben - Massangaben: Bedeutung und konzeptuelle Interpretation von Numeralia.,Null,1995,1-300,https://d-nb.info/94553762X,"DUV, Dt. Univ.-Verlag",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-8244-4181-5,Null,Null,Null
Christopher Richardson,A privacy preserving approach to security analytics within a smart city.,"Lancaster University, UK",2017,Null,https://ethos.bl.uk/OrderDetails.do?uin=uk.bl.ethos.747982,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,"British Library, EThOS",Null,Null,Null,Null,Null
A. H. S. Loh,The development of FPS- a financial planning system.,"Imperial College London, UK",1971,Null,"https://ethos.bl.uk/OrderDetails.do?uin=uk.bl.ethos.623842, https://spiral.imperial.ac.uk:8443/handle/10044/1/16517",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,"British Library, EThOS",Null,Null,Null,Null,Null
Alastair Peter Dunsmore,Reading techniques for object-oriented code of production.,Null,2003,Null,https://ethos.bl.uk/OrderDetails.do?uin=uk.bl.ethos.269999,"University of Strathclyde, Glasgow, UK",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,"British Library, EThOS",Null,Null,Null,Null,Null
Martin J. Wheatman,An object layer for conventional file-systems.,"Lancaster University, UK",1999,Null,"http://eprints.lancs.ac.uk/11680/, https://ethos.bl.uk/OrderDetails.do?uin=uk.bl.ethos.569464",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,"British Library, EThOS",Null,Null,Null,Null,Null
Peter J. Fleming,Design environments for control systems.,"Queen's University Belfast, UK",2011,Null,https://ethos.bl.uk/OrderDetails.do?uin=uk.bl.ethos.534739,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,"British Library, EThOS",Null,Null,Null,Null,Null
Ian Miguel,Dynamic flexible constraint satisfaction and its application to AI planning.,"Edinburgh, Univ.",2004,1-318,https://d-nb.info/969624166,Springer,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,1-85233-764-8,Null,Null,Null
Patrick Gros,De l'appariement a l'indexation des images. (From image matching to image indexing).,"Grenoble Institute of Technology, France",1998,Null,https://tel.archives-ouvertes.fr/tel-00004889,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Johan Montagnat,Segmentation d'image médicales volumiques à l'aide de maillages déformables contraints. (Medical images segmentation using constrained deformable models).,Null,1996,Null,https://tel.archives-ouvertes.fr/tel-00691915,"École normale supérieure de Cachan, France",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Anne Auger,"Thèse d'habilitation à diriger des recherches ""Analysis of Comparison-based Stochastic Continuous Black-Box Optimization Algorithms"". (Thèse d'habilitation à diriger des recherches ""Analysis of Comparison-based Stochastic Continuous Black-Box Optimization Algorithms"").","University of Paris-Sud, France",2016,Null,https://tel.archives-ouvertes.fr/tel-01468781,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Catherine Berrut,"Indexation des données multimedia, utilisation dans le cadre d'un système de recherche d'informations. (Indexing multimedia data, in the context of information retrieval systems).","Joseph Fourier University, Grenoble, France",1997,Null,https://tel.archives-ouvertes.fr/tel-00004920,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Taehyun Kim 0003,"Scalable video streaming over the internet: concepts, challenges, and solutions.",Null,2008,1-127,https://d-nb.info/99128027X,"VDM Verlag Dr. Müller, Saarbrücken, Germany",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-8364-6123-8,Null,Null,Null
Ozgur Kurc,Parallel computing in structural engineering: a substructure based approach.,Null,2008,1-287,https://d-nb.info/987746987,VDM,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-8364-6088-0,Null,Null,Null
Volker Baier,Motion perception and prediction: a subsymbolic approach.,Null,2008,1-123,https://d-nb.info/991168747,"VDM Verlag Dr. Müller, Saarbrücken, Germany",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-8364-7040-7,Null,Null,Null
Felix Flentge,Maschinelles Lernen von Aktionen: adaptive Funktionsapproximation für Reinforcement-Learning auf der Basis von selbstorganisierenden Karten.,Johannes Gutenberg University Mainz,2007,1-133,https://d-nb.info/986313769,"VDM Verlag Dr. Müller, Saarbrücken, Germany",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-8364-4614-3,Null,Null,Null
Sergej Alekseev,Ablaufüberwachung objektorientierter Programme: graphentheoretische Algorithmen für die Ablaufanalyse.,Null,2007,1-148,https://d-nb.info/984434062,"VDM Verlag Dr. Müller, Saarbrücken, Germany",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-8364-1619-1,Null,Null,Null
Monique Janneck,Quadratische Kommunikation im Netz: Gruppeninteraktion und die Gestaltung von CSCL-Systemen.,Null,2007,1-167,https://d-nb.info/985915951,"Lohmar, Cologne, Germany",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-89936-625-9,Null,Null,Null
Hermann Birkholz,Level-of-Detail- und hardwareunterstütztes Out-of-core-Rendering: interaktive Darstellung komplexer 3D-Modelle.,University of Rostock,2008,1-134,https://d-nb.info/991301455,"VDM Verlag Dr. Müller, Saarbrücken, Germany",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-8364-7734-5,Null,Null,Null
Ralf Schmitz,"Design and evaluation of transport protocols for wireless and mobile networks: in cellular and ad-hoc networks, particularly vehicular ad-hoc networks.",Null,2007,1-180,https://d-nb.info/985468084,"VDM Verlag Dr. Müller, Saarbrücken, Germany",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-8364-2470-7,Null,Null,Null
Michael Gellner,Usability evaluation patterns: best practices zur Durchführung von Usability-Evaluationen.,University of Rostock,2008,1-327,https://d-nb.info/988799375,"VDM Verlag Dr. Müller, Saarbrücken, Germany",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-8364-8497-8,Null,Null,Null
Ralf Hofmann,Wissensmanagement in IT-Unternehmensberatungen.,Null,2004,1-169,https://d-nb.info/97316641X,"Dt. Univ.-Verl., Wiesbaden, Germany",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,3-8244-8137-5,Null,Null,Null
Johannes Bitterling,Roboterarchitekturen.,Null,2009,Null,"http://www.bod.de/index.php?id=296&objk_id=194569, https://nbn-resolving.org/urn:nbn:de:101:1-20091119565, https://d-nb.info/99839792X","Books on Demand, Norderstedt, Germany",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-8370-9004-8,Null,Null,Null
Sebastian Wieczorek,Modeling and model-based testing of service choreographies: modeling and model-based service integration testing for service-oriented architectures.,Null,2010,1-138,https://d-nb.info/1008890065,"AVM, Munich, Germany",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-86306-684-0,Null,Null,Null
Timo Götzelmann,Correlating illustrations and text through interactive annotation: computer-aided support for textbooks.,Otto von Guericke University Magdeburg,2008,1-185,https://d-nb.info/987741551,"VDM Verlag Dr. Müller, Saarbrücken, Germany",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-8364-6360-7,Null,Null,Null
Alexander Ziegler,Eignungseinstufung von Vorgehensmodellen: Ddurch systematische Risikoanalyse für Softwareprojekte direkt zum geeigneten Vorgehensmodell.,Null,2009,1-245,https://d-nb.info/993395414,"Pro Business, Berlin, Germany",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-86805-329-6,Null,Null,Null
Kai Kapp,Eine formale algorithmische Synthese digitaler Schaltungen.,Null,2005,1-177,"http://www.uvka.de/univerlag/volltexte/2005/93/pdf/Kapp_Kai.pdf, https://nbn-resolving.org/urn:nbn:de:0072-37299, https://d-nb.info/97787110X, https://d-nb.info/97819618X","Universitäts Verlag Karlsruhe, Germany",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,3-937300-90-2,Null,Null,Null
Vitalian A. Danciu,From Processes to Policies: Application of policy-based techniques to process-oriented IT service management.,Ludwig Maximilians University Munich,2009,Null,"http://www.bod.de/index.php?id=296&objk_id=188511, https://nbn-resolving.org/urn:nbn:de:101:1-20100325575, https://d-nb.info/1001130472","Norderstedt, Germany",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-8370-7160-3,Null,Null,Null
Ingrid Rügge,"Mobile solutions: Einsatzpotenziale, Nutzungsprobleme und Lösungsansätze.",Null,2007,1-319,https://d-nb.info/985467851,"Dt. Univ.-Verl., Wiesbaden, Germany",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-8350-0919-6,Null,Null,Null
Eduard Siemens,Dienstgüte in Datennetzen: Methodik der hochpräzisen Messung der Dienstgüte in IP-Netzen.,Null,2008,1-142,https://d-nb.info/988386585,"VDM Verlag Dr. Müller, Saarbrücken, Germany",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-8364-4625-9,Null,Null,Null
Michael Barth,Entwicklung und Bewertung zeitkritischer Softwaremodelle: Simulationsbasierter Ansatz und Methodik.,Null,2009,Null,"http://www.bod.de/index.php?id=296&objk_id=228746, https://nbn-resolving.org/urn:nbn:de:101:1-20091217577, https://d-nb.info/999150634","Books on Demand, Norderstedt, Germany",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-8391-1157-4,Null,Null,Null
Hendrik Witt,User interfaces for wearable computers: development and evaluation.,Null,2008,1-273,https://d-nb.info/987814362,"Vieweg + Teubner, Wiesbaden, Germany",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-8351-0256-9,Null,Null,Null
Christian Knöpfle,Interaktion in virtuellen Welten: intuitive Bedienschnittstellen für den Design Review.,Null,2007,1-191,https://d-nb.info/984485945,"VDM Verlag Dr. Müller, Saarbrücken, Germany",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-8364-1565-1,Null,Null,Null
Marcus Raitner,Efficient visual navigation: a study by the example of hierarchically structured graphs.,Null,2007,1-152,https://d-nb.info/985518715,"VDM Verlag Dr. Müller, Saarbrücken, Germany",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-8364-1794-5,Null,Null,Null
Melanie Weis,Duplicate detection in XML data.,Null,2008,1-240,https://d-nb.info/987676849,"WiKu, Duisburg, Colone, Germany",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-86553-263-3,Null,Null,Null
Dennis Allerkamp,Tactile Perception of Textiles in a Virtual-Reality System.,University of Hanover,2010,1-120,"https://doi.org/10.1007/978-3-642-13974-1, https://d-nb.info/1002680379",Springer,Null,Null,Null,10,Null,Null,Null,Null,Null,Null,Null,Null,"978-3-642-13973-4, 978-3-642-13974-1",Cognitive Systems Monographs,Null,Null
Bixia Wu,Verteilende Verfeinerung: Entwurf und Verifikation verteilter Algorithmen mit Petrinetzen.,Null,2007,1-198,https://d-nb.info/985425121,"Logos-Verlag, Berlin",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-8325-1664-2,Null,Null,Null
Bernhard Fechner,"Transiente Fehler in Mikroprozessoren: Mechanismen zur Erkennung, Behebung und Tolerierung.",FernUniversität in Hagen,2009,1-265,https://d-nb.info/990301346,"Vieweg + Teubner, Germany",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-8348-0714-4,Null,Null,Null
Cristian Pérez de Laborda Schwankhart,Incorporating relational data into the Semantic Web: from databases to RDF using relational OWL.,Null,2007,1-144,https://d-nb.info/986652032,"VDM Verlag Dr. Müller, Saarbrücken, Germany",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-8364-5167-3,Null,Null,Null
Ulf-Daniel Ehlers,Qualität im E-Learning aus Lernersicht.,Null,2011,1-327,https://d-nb.info/1001928911,"VS-Verlag, Wiesbaden, Germany",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-531-17589-8,Null,Null,Null
Markus Krätzig,"A software framework for data based analysis: requirements analysis, architecture and usage of a powerful open source framework for data centric software development in Java.",Null,2008,1-353,https://d-nb.info/98882356X,"VDM Verlag Dr. Müller, Saarbrücken, Germany",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-8364-8455-8,Null,Null,Null
Michael Eulenstein,"POCO, ein portables System zur Generierung portabler Compiler.",Saarland University,2005,Null,"http://scidok.sulb.uni-saarland.de/volltexte/2005/463/index.html, https://nbn-resolving.org/urn:nbn:de:bsz:291-scidok-4632, https://d-nb.info/975450093",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Björn W. Schuller,"Mensch, Maschine, Emotion: Erkennung aus sprachlicher und manueller Interaktion.",Technical University Munich,2007,1-239,"http://mediatum.ub.tum.de/doc/1138558/38728.pdf, https://d-nb.info/984653066",VDM,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-8364-1522-4,Null,Null,Null
Elke Focke,Rechenschwäche und Lernsoftware: Lösungsmöglichkeiten im Mathematikunterricht der ersten beiden Grundschuljahre.,Null,2008,1-286,https://d-nb.info/988033844,"VDM Verlag Dr. Müller, Saarbrücken, Germany",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-8364-4411-8,Null,Null,Null
Thomas Zimmermann 0001,Changes and Bugs: Mining and Predicting Software Development Activities.,Null,2009,Null,"http://www.bod.de/index.php?id=296&objk_id=220006, https://nbn-resolving.org/urn:nbn:de:101:1-20091209425, https://d-nb.info/998938114",Books on Demand,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-8391-0746-1,Null,Null,Null
Thomas Setzer,Adaptive admission control for media streaming services: revenue management and overload control techniques for shared real-time infrastructures.,Null,2008,1-166,https://d-nb.info/991258614,"VDM Verlag Dr. Müller, Saarbrücken, Germany",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-8364-7780-2,Null,Null,Null
Stefan Schaden,"Fremdsprachlicher Akzent als Problem der Sprachtechnologie: Grundlagen, Entwurf und Implementierung eines Regelsystems zur Modellierung akzentgefärbter Aussprache.",Null,2007,1-259,https://d-nb.info/985692642,Shaker Media,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-940459-04-6,Null,Null,Null
Stephan Volmer,Inhaltsbasierte Bildsuche mittels visueller Merkmale: eine Alternative zur Erschließung digitaler Bildinformationen.,Null,2007,1-174,https://d-nb.info/984551832,"VDM Verlag, Saarbücken, Germany",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-8364-1568-2,Null,Null,Null
Stefan Martin Frenz,Cluster-Checkpointing mit transaktional verteiltem Speicher: effiziente Verfahren für Sicherung und Rücksetzung von verteilten Betriebssystemen.,"University of Ulm, Germany",2008,1-113,https://d-nb.info/98838745X,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-8364-5660-9,Null,Null,Null
Peter Tandler,"Synchronous collaboration in the age of ubiquitous computing: requirements, application models, software architecture.",Null,2008,1-258,https://d-nb.info/989592812,"VDM Verlag Dr. Müller, Saarbrücken, Germany",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-8364-3397-6,Null,Null,Null
Carsten Bange,Business intelligence aus Kennzahlen und Dokumenten: Integration strukturierter und unstrukturierter Daten in entscheidungsunterstützenden Informationssystemen.,Null,2004,1-290,https://d-nb.info/969493525,"Kovac, Hamburg, Germany",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,3-8300-1282-9,Null,Null,Null
Klaus Herrmann 0001,"Self-organizing ambient intelligence: principles, algorithms, and protocols.",Null,2008,1-257,https://d-nb.info/988875128,"VDM Verlag Dr. Müller, Saarbrücken, Germany",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-8364-9896-8,Null,Null,Null
Stefan Baerisch,Domain-specific model-driven testing.,Null,2010,1-244,https://d-nb.info/995466882,"Vieweg + Teubner, Germany",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-8348-0931-5,Null,Null,Null
Matthias Korch,Eingebettete Runge-Kutta-Verfahren für parallele Rechnersysteme: effiziente Implementierung durch Ausnutzung der Speicherzugriffslokalität.,Null,2008,1-272,https://d-nb.info/988858061,"VDM Verlag Dr. Müller, Saarbrücken, Germany",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-8364-9140-2,Null,Null,Null
Vasian Cepa,Attribute enabled software development: illustrated with mobile software applications.,Darmstadt University of Technology,2007,1-197,https://d-nb.info/983751560,"VDM Dr. Müller, Saarbrücken, Germany",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-8364-1016-8,Null,Null,Null
Michael Hellenschmidt,Realisierung der ambient intelligence: Software-Infrastruktur und Entwicklungsumgebung für selbstorganisierende multimediale Ensembles in Ambient-intelligence-Umgebungen.,Null,2008,1-283,https://d-nb.info/988827433,"VDM Verlag Dr. Müller, Saarbrücken, Germany",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-8364-8879-2,Null,Null,Null
